price,area,bedroom,toilet,district,province
6500000000.0,70.0,2.0,2.0,Cầu Giấy,Hà Nội
6500000000.0,63.0,3.0,3.0,Quận 2,Hồ Chí Minh
22800000000.0,162.0,3.0,3.0,Nhơn Trạch,Đồng Nai
3100000000.0,34.0,4.0,4.0,Hà Đông,Hà Nội
6000000000.0,117.0,2.0,2.0,Cầu Giấy,Hà Nội
6500000000.0,103.0,3.0,2.0,Bắc Từ Liêm,Hà Nội
7000000000.0,80.0,2.0,2.0,Bình Thạnh,Hồ Chí Minh
1500000000.0,53.0,1.0,1.0,Thủ Dầu Một,Bình Dương
2900000000.0,37.31,1.0,1.0,Đống Đa,Hà Nội
5500000000.0,88.8,2.0,2.0,Cầu Giấy,Hà Nội
6000000000.0,117.0,3.0,2.0,Cầu Giấy,Hà Nội
4500000000.0,67.5,2.0,1.0,Kiến An,Hải Phòng
7800000000.0,156.0,3.0,3.0,Quận 8,Hồ Chí Minh
2500000000.0,45.0,1.0,1.0,Liên Chiểu,Đà Nẵng
7100000000.0,91.0,2.0,2.0,Quận 2,Hồ Chí Minh
1400000000.0,59.0,2.0,2.0,Liên Chiểu,Đà Nẵng
1950000000.0,45.1,1.0,1.0,Hạ Long,Quảng Ninh
1500000000.0,60.0,2.0,1.0,Liên Chiểu,Đà Nẵng
5550000000.0,76.0,1.0,2.0,Tây Hồ,Hà Nội
6300000000.0,123.0,3.0,2.0,Tây Hồ,Hà Nội
1550000000.0,57.0,2.0,1.0,Thạch Thất,Hà Nội
2400000000.0,60.0,2.0,2.0,Hạ Long,Quảng Ninh
5300000000.0,180.0,3.0,3.0,Kinh Môn,Hải Dương
4200000000.0,85.0,3.0,2.0,Long Biên,Hà Nội
2870000000.0,35.0,1.0,1.0,Quận 9,Hồ Chí Minh
2750000000.0,65.0,2.0,2.0,Tân Phú,Hồ Chí Minh
19500000000.0,242.0,3.0,3.0,Hoài Đức,Hà Nội
8150000000.0,54.0,1.0,1.0,Văn Giang,Hưng Yên
4410000000.0,63.0,2.0,2.0,Nam Từ Liêm,Hà Nội
5250000000.0,70.0,2.0,2.0,Thanh Xuân,Hà Nội
5750000000.0,82.0,2.0,2.0,Bình Thạnh,Hồ Chí Minh
10900000000.0,106.0,2.0,2.0,Bình Thạnh,Hồ Chí Minh
17500000000.0,134.0,3.0,2.0,Quận 2,Hồ Chí Minh
10000000000.0,80.0,2.0,1.0,Thường Tín,Hà Nội
22000000000.0,146.0,4.0,3.0,Ba Đình,Hà Nội
5000000000.0,73.0,2.0,2.0,Quận 10,Hồ Chí Minh
9600000000.0,156.0,12.0,3.0,Quận 12,Hồ Chí Minh
6200000000.0,52.0,1.0,1.0,Văn Giang,Hưng Yên
15000000000.0,95.0,4.0,4.0,Quận 9,Hồ Chí Minh
1150000000.0,58.0,2.0,2.0,Thuận An,Bình Dương
7800000000.0,75.0,2.0,2.0,Quận 2,Hồ Chí Minh
3350000000.0,30.0,3.0,4.0,Hoài Đức,Hà Nội
7740000000.0,129.0,3.0,2.0,Bắc Từ Liêm,Hà Nội
1870000000.0,52.0,2.0,2.0,Quận 2,Hồ Chí Minh
5000000000.0,72.0,2.0,2.0,Quận 10,Hồ Chí Minh
8700000000.0,117.0,3.0,2.0,Nam Từ Liêm,Hà Nội
16000000000.0,80.0,25.0,25.0,Hoài Đức,Hà Nội
6300000000.0,80.0,2.0,2.0,Quận 9,Hồ Chí Minh
