title,price,address,price_m2,direction,property_legal_document,land_type,pty_characteristics,size,width,length
Bán 2 Lô biệt thự khu Tên Lửa góc đối diện Công Viên đường số 49C . - 117771306,42 tỷ,"Đường số 49C, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh","93,33 triệu/m²",,Đã có sổ,Đất thổ cư,,450 m²,23 m,20 m
Bán đất biệt thự 10x24m khu tên lửa đường 57A hướng bắc gần công viên - 119153924,"16,8 tỷ","Đường 57A, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh",70 triệu/m²,,Đã có sổ,Đất thổ cư,,240 m²,10 m,24 m
Đất Nền KDC Gia Long Riverside Giá Ngộp - 116273246,"5,18 tỷ","1368, Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","60,87 triệu/m²",Tây Bắc,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ",,7.5 m,12.5 m
Cần bán gấp đất đường Dương Thị Giang Q12 mặt tiền đường - 117177393,"7,5 tỷ","Duong Thị Giang, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","92,59 triệu/m²",,Đã có sổ,Đất thổ cư,Mặt tiền,81 m²,4.5 m,18 m
424m2 Đất thổ cư 100% vị trí đẹp 2 mặt tiền CỦ CHI - 115006081,5 tỷ,"Đường Lê Thị Chừng, Xã Phước Hiệp, Huyện Củ Chi, Tp Hồ Chí Minh","11,79 triệu/m²",Bắc,Đã có sổ,Đất thổ cư,"Mặt tiền,Hẻm xe hơi,Thổ cư toàn bộ",424 m²,9.16 m,49.3 m
Đất thổ cư hẻm 274/13 Nguyễn Văn Tạo - 115949266,"3,8 tỷ","Đường Nguyễn Văn Tạo, Xã Long Thới, Huyện Nhà Bè, Tp Hồ Chí Minh","36,19 triệu/m²",Đông,Đã có sổ,Đất thổ cư,Hẻm xe hơi,105 m²,,
Đất dự án khu nhà ở cán bộ chiến sĩ cảnh sát hẻm 512 Nguyễn Văn Tạo - 118218328,"3,68 tỷ","Đường Nguyễn Văn Tạo, Xã Long Thới, Huyện Nhà Bè, Tp Hồ Chí Minh",23 triệu/m²,,Đã có sổ,Đất nền dự án,Hẻm xe hơi,160 m²,8 m,20 m
BÁN LÔ ĐẤT MẶT TIỀN TRỤC CHÍNH KDC ĐÀO SƯ TÍCH - 116166922,"8,061 tỷ","Đường Đào Sư Tích, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh",75 triệu/m²,,Đã có sổ,Đất nền dự án,Mặt tiền,107.5 m²,5 m,21.5 m
LÔ GÓC KDC THANH QUẾ - NGUYỄN BÌNH 4.25 TỶ - 119181260,"4,25 tỷ","Đường Nguyễn Bình, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh","51,52 triệu/m²",,Đã có sổ,Đất nền dự án,,82.5 m²,6.6 m,12.5 m
"LÔ ĐẤT KDC THANH QUẾ NGAY CẦU BÀ SÁU GIÁ 4,2 TỶ - 119181011","4,2 tỷ","Đường Nguyễn Bình, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh","50,48 triệu/m²",,Đã có sổ,Đất nền dự án,,83.2 m²,6.4 m,13 m
CHÍNH CHỦ BÁN LÔ ĐẤT 66M2 HẺM XE HƠI ĐƯỜNG 24 LINH ĐÔNG GIÁ 3.7 TỶ - 113967877,"3,7 tỷ","Linh Đông, Phường Linh Đông, Quận Thủ Đức, Tp Hồ Chí Minh","56,06 triệu/m²",,Đã có sổ,Đất thổ cư,Hẻm xe hơi,66 m²,4.35 m,15 m
"Đất KDC Rạch Tôm, Nhơn Đức, Nhà Bè. Sổ sẵn - 119625041","3,5 tỷ","Đường Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh","39,41 triệu/m²",,Đã có sổ,Đất nền dự án,,88.8 m²,5 m,18 m
