price,rooms,toilets,floors,house_type,furnishing_sell,size,ward,district
490000000.0,1,1,1.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,14.1,Xã Bình Hưng,Huyện Bình Chánh
2750000000.0,3,4,3.0,Nhà phố liền kề,Nội thất đầy đủ,55.2,Phường 11,Quận Bình Thạnh
8800000000.0,6,6,1.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,115.5,Phường Tân Kiểng,Quận 7
5200000000.0,2,2,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,60.0,Phường 14,Quận 6
15200000000.0,6,6,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,95.8,Phường 12,Quận Bình Thạnh
5200000000.0,2,2,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,60.0,Phường 14,Quận 6
15200000000.0,6,6,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,95.8,Phường 12,Quận Bình Thạnh
1860000000.0,3,3,2.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,10.0,Phường 13,Quận 4
6500000000.0,5,5,4.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,80.0,Phường Tân Chánh Hiệp,Quận 12
930000000.0,3,3,3.0,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,94.99,Xã Bình Chánh,Huyện Bình Chánh
12000000000.0,3,1,1.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,89.8,Phường 3,Quận Bình Thạnh
8300000000.000001,4,5,3.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,72.0,Phường Bình Trị Đông,Quận Bình Tân
5600000000.0,3,2,3.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,53.0,Phường Hiệp Bình Phước (Quận Thủ Đức cũ),Thành phố Thủ Đức
7400000000.0,2,0,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,60.0,Phường Tân Thành,Quận Tân Phú
3320000000.0,3,3,3.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,42.03,Phường 26,Quận Bình Thạnh
800000000.0,2,2,1.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,100.0,Xã Bình Chánh,Huyện Bình Chánh
9900000000.0,4,2,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,120.0,Phường Bình Chiểu (Quận Thủ Đức cũ),Thành phố Thủ Đức
800000000.0,2,2,1.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,100.0,Xã Bình Chánh,Huyện Bình Chánh
9900000000.0,4,2,2.0,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,120.0,Phường Bình Chiểu (Quận Thủ Đức cũ),Thành phố Thủ Đức
690000000.0,4,4,2.0,"Nhà ngõ, hẻm",Nội thất cao cấp,10.0,Phường Tân Thới Nhất,Quận 12
5750000000.0,4,5,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,66.0,Phường Linh Xuân (Quận Thủ Đức cũ),Thành phố Thủ Đức
6500000000.0,4,4,3.0,Nhà phố liền kề,Nội thất đầy đủ,78.0,Phường Hiệp Bình Phước (Quận Thủ Đức cũ),Thành phố Thủ Đức
4300000000.0,5,4,4.0,"Nhà ngõ, hẻm",Bàn giao thô,36.0,Phường 7,Quận Phú Nhuận
5250000000.0,2,0,0.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,64.0,Phường Hiệp Thành,Quận 12
490000000.0,1,1,1.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,14.0,Phường 5,Quận 8
5290000000.0,3,2,3.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,48.0,Phường Phú Thọ Hòa,Quận Tân Phú
4800000000.0,2,0,0.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,56.0,Phường Tân Thới Hòa,Quận Tân Phú
4300000000.0,2,2,3.0,"Nhà ngõ, hẻm",Bàn giao thô,30.0,Phường 2,Quận Phú Nhuận
7300000000.0,5,4,5.0,"Nhà ngõ, hẻm",Nội thất đầy đủ,58.0,Phường 8,Quận Phú Nhuận
690000000.0,4,4,2.0,"Nhà ngõ, hẻm",Nội thất cao cấp,10.0,Phường Tân Thới Nhất,Quận 12
5750000000.0,4,5,4.0,"Nhà ngõ, hẻm",Nội thất cao cấp,66.0,Phường Linh Xuân (Quận Thủ Đức cũ),Thành phố Thủ Đức
6500000000.0,4,4,3.0,Nhà phố liền kề,Nội thất đầy đủ,78.0,Phường Hiệp Bình Phước (Quận Thủ Đức cũ),Thành phố Thủ Đức
4300000000.0,5,4,4.0,"Nhà ngõ, hẻm",Bàn giao thô,36.0,Phường 7,Quận Phú Nhuận
5250000000.0,2,0,0.0,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,64.0,Phường Hiệp Thành,Quận 12
490000000.0,1,1,1.0,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,14.0,Phường 5,Quận 8
