price,address,price_m2,rooms,toilets,direction,floors,property_legal_document,house_type,furnishing_sell,width,length,living_size,size
"13,20 tỷ","527/14, Đường Điện Biên Phủ, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh","108,20 triệu/m²",1 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,4.6 m,28 m,122 m²,
"6,50 tỷ","Đường Trần Thị Trọng, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh","89,04 triệu/m²",2 phòng,1 phòng,Tây Bắc,1,Đã có sổ,"Nhà ngõ, hẻm",,4 m,,,
"3,59 tỷ",Cập nhật 1 ngày trước,"125,96 triệu/m²",2 phòng,2 phòng,Đông,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"9,20 tỷ","152/36, Đường Nguyễn Trọng Tuyển, Phường 8, Quận Phú Nhuận, Tp Hồ Chí Minh","185,86 triệu/m²",3 phòng,3 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,3.3 m,15 m,,49.5 m²
"5,10 tỷ",Cập nhật 5 giờ trước,"228,70 triệu/m²",2 phòng,4 phòng,Tây Bắc,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"2,25 tỷ","KDC Miền Đông, Xã Thạnh Phú, Huyện Vĩnh Cửu, Đồng Nai","22,50 triệu/m²",3 phòng,2 phòng,Đông,2,Đã có sổ,Nhà phố liền kề,Hoàn thiện cơ bản,,,,
760 triệu,"Đường Nguyễn Cửu Phú, Xã Tân Kiên, Huyện Bình Chánh, Tp Hồ Chí Minh","9,50 triệu/m²",3 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,4 m,20 m,,80 m²
"5,30 tỷ",Cập nhật 4 giờ trước,"112,77 triệu/m²",3 phòng,3 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,47 m²
"2,80 tỷ",Cập nhật 18 giờ trước,"13,10 triệu/m²",2 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,,,213.8 m²,213.8 m²
"9,80 tỷ","Đường tỉnh 824, Xã Đức Hòa Đông, Huyện Đức Hòa, Long An","23,68 triệu/m²",4 phòng,4 phòng,,3,Đã có sổ,"Nhà mặt phố, mặt tiền",,10 m,41 m,,
"4,50 tỷ","Đường Đinh Bộ Lĩnh, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh","102,27 triệu/m²",2 phòng,2 phòng,Nam,2,Đã có sổ,"Nhà ngõ, hẻm",,4 m,,,
3 tỷ,"Đường Thành Thái, Phường 12, Quận 10, Tp Hồ Chí Minh",150 triệu/m²,2 phòng,2 phòng,Tây Nam,1,Đã có sổ,"Nhà ngõ, hẻm",,1 m,,,
"5,50 tỷ","Đường Trung Mỹ Tây 2A, Phường Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh","58,51 triệu/m²",4 phòng,3 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,4.5 m,,,
"7,50 tỷ","Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh","93,63 triệu/m²",4 phòng,3 phòng,Đông,4,Đã có sổ,Nhà phố liền kề,Nội thất đầy đủ,,,,
"5,10 tỷ","Đường Trần Quốc Thảo, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh","137,84 triệu/m²",3 phòng,3 phòng,,4,Đã có sổ,"Nhà ngõ, hẻm",Bàn giao thô,4.8 m,,,
"4,50 tỷ","Đường Trương Thị Hoa, Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh","78,95 triệu/m²",4 phòng,3 phòng,,3,Đã có sổ,Nhà phố liền kề,Nội thất cao cấp,4.2 m,,,
"5,20 tỷ","Đường Bình Thành, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",80 triệu/m²,4 phòng,5 phòng,,4,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,4 m,,,
7 tỷ,"Đinh Tiên Hoàng , Phường 1, Quận Bình Thạnh, Tp Hồ Chí Minh","94,59 triệu/m²",2 phòng,1 phòng,,1,Đã có sổ,"Nhà ngõ, hẻm",Bàn giao thô,6.2 m,,,
"2,60 tỷ","Đường Trần Vĩnh Kiết, Phường An Bình, Quận Ninh Kiều, Cần Thơ","44,44 triệu/m²",2 phòng,1 phòng,,1,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,4.5 m,,,
"11,50 tỷ","Đường Nguyễn Súy, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh","105,99 triệu/m²",2 phòng,2 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,6.2 m,17.5 m,,108.5 m²
"4,19 tỷ","tl40, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh","41,90 triệu/m²",4 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,5.7 m,,,
"5,12 tỷ","Đường Phan Văn Trị, Phường 3, Quận Gò Vấp, Tp Hồ Chí Minh",256 triệu/m²,2 phòng,3 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4 m,5 m,,
"3,73 tỷ","Đường Dương Văn Dương, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh","106,57 triệu/m²",2 phòng,,,2,Đã có sổ,"Nhà ngõ, hẻm",,4 m,9 m,,35 m²
"3,10 tỷ","Tân Long, Phường Tân Đông Hiệp, Thành phố Dĩ An, Bình Dương","48,44 triệu/m²",3 phòng,2 phòng,Tây Bắc,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,,,,
"4,70 tỷ",Cập nhật 2 ngày trước,"65,28 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,,,72 m²
320 triệu,"Đường Nguyễn Văn Bứa, Xã Xuân Thới Sơn, Huyện Hóc Môn, Tp Hồ Chí Minh","15,24 triệu/m²",2 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,3 m,7 m,,
"17,99 tỷ","Đường Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội","310,17 triệu/m²",4 phòng,5 phòng,,7,Đã có sổ,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,4.1 m,,,
"7,60 tỷ","Thống Nhất, Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh","126,67 triệu/m²",4 phòng,3 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,4 m,15 m,,
420 triệu,"Đường An Hạ, Xã Phạm Văn Hai, Huyện Bình Chánh, Tp Hồ Chí Minh",42 triệu/m²,2 phòng,2 phòng,,1,Đã có sổ,Nhà biệt thự,,5 m,20 m,,
"5,35 tỷ","Đường Tân Thới Nhất 5, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh","71,52 triệu/m²",3 phòng,3 phòng,Bắc,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"1,55 tỷ","Hiệp Thành 17, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh","51,67 triệu/m²",2 phòng,2 phòng,,,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",Nội thất cao cấp,3 m,10 m,,
"3,50 tỷ","Đường Lê Văn Duyệt, Phường 1, Quận Bình Thạnh, Tp Hồ Chí Minh","179,49 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,3 m,,,
"4,10 tỷ","Cư Xá Hưng Phú, Hưng Phú, Phường 10, Quận 8, Tp Hồ Chí Minh","113,89 triệu/m²",2 phòng,2 phòng,Bắc,1,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,,,
"4,10 tỷ","Cư Xá Hưng Phú, Hưng Phú, Phường 10, Quận 8, Tp Hồ Chí Minh","113,89 triệu/m²",2 phòng,2 phòng,Bắc,1,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,,,
"6,60 tỷ","5, Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội","146,67 triệu/m²",8 phòng,Nhiều hơn 6 phòng,,5,Đã có sổ,"Nhà ngõ, hẻm",,4 m,,200 m²,
"10,99 tỷ","Tân Chánh Hiệp 10, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh","134,02 triệu/m²",6 phòng,,,,Đã có sổ,Nhà biệt thự,Nội thất cao cấp,6.5 m,15 m,350 m²,
"1,98 tỷ","Đường Nguyễn Bình, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh","51,56 triệu/m²",2 phòng,2 phòng,,1,Đã có sổ,Nhà phố liền kề,Nội thất đầy đủ,3.2 m,,,
"4,55 tỷ","Đường Lê Đức Thọ, Phường 17, Quận Gò Vấp, Tp Hồ Chí Minh",91 triệu/m²,4 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,8 m,5 m,,50 m²
"1,10 tỷ","lê công hành, Phường An Tây, Thành phố Huế, Thừa Thiên Huế","13,75 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà mặt phố, mặt tiền",,5 m,16 m,,
"5,90 tỷ",Cập nhật 2 ngày trước,"65,56 triệu/m²",5 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,,,,90 m²
"7,95 tỷ",Cập nhật 2 ngày trước,"124,22 triệu/m²",2 phòng,,Bắc,1,Đã có sổ,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,,,,
"3,55 tỷ","Đường 22 Tháng 12, Phường Thuận Giao, Thành phố Thuận An, Bình Dương","39,44 triệu/m²",5 phòng,,,3,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,5 m,19.5 m,,
"2,15 tỷ","Đường Đoàn Văn Bơ, Phường 10, Quận 4, Tp Hồ Chí Minh",215 triệu/m²,1 phòng,1 phòng,,1,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,2.48 m,,,
"1,50 tỷ",Cập nhật 2 ngày trước,"94,94 triệu/m²",1 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",,,,30 m²,15.8 m²
"17,50 tỷ","Đường Số 3, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","145,83 triệu/m²",5 phòng,6 phòng,,4,Đã có sổ,"Nhà mặt phố, mặt tiền",,6 m,20 m,,
"3,15 tỷ","Đường Nguyễn Văn Khối, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh","116,67 triệu/m²",2 phòng,3 phòng,,3,Đã có sổ,"Nhà ngõ, hẻm",,3.1 m,8.5 m,,
"11,80 tỷ",Cập nhật 2 ngày trước,"256,52 triệu/m²",6 phòng,5 phòng,,6,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"5,10 tỷ",Cập nhật 2 ngày trước,75 triệu/m²,6 phòng,6 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,,,68 m²
35 tỷ,"Đường Lạc Long Quân, Phường 8, Quận Tân Bình, Tp Hồ Chí Minh","188,17 triệu/m²",4 phòng,5 phòng,,4,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,5 m,,,
"4,60 tỷ","Đinh Bộ Lĩnh, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh","65,16 triệu/m²",4 phòng,4 phòng,,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4 m,,,
"12,80 tỷ","Đường Tân Thành, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","102,07 triệu/m²",1 phòng,2 phòng,Bắc,,Đã có sổ,"Nhà mặt phố, mặt tiền",Bàn giao thô,5.9 m,,,
"8,10 tỷ","Đường Cù Lao, Phường 2, Quận Phú Nhuận, Tp Hồ Chí Minh","152,83 triệu/m²",2 phòng,2 phòng,,1,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,4 m,,,
30 tỷ,"143, Đường Phó Cơ Điều, Phường 6, Quận 11, Tp Hồ Chí Minh",250 triệu/m²,5 phòng,3 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,5 m,24 m,120 m²,
"17,50 tỷ","Đường Số 3, Xã Bình Hưng, Huyện Bình Chánh, Tp Hồ Chí Minh","145,83 triệu/m²",5 phòng,6 phòng,,4,Đã có sổ,"Nhà mặt phố, mặt tiền",,6 m,20 m,,
"3,15 tỷ","Đường Nguyễn Văn Khối, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh","116,67 triệu/m²",2 phòng,3 phòng,,3,Đã có sổ,"Nhà ngõ, hẻm",,3.1 m,8.5 m,,
"11,80 tỷ",Cập nhật 2 ngày trước,"256,52 triệu/m²",6 phòng,5 phòng,,6,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"5,10 tỷ",Cập nhật 2 ngày trước,75 triệu/m²,6 phòng,6 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,,,68 m²
35 tỷ,"Đường Lạc Long Quân, Phường 8, Quận Tân Bình, Tp Hồ Chí Minh","188,17 triệu/m²",4 phòng,5 phòng,,4,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,5 m,,,
"4,60 tỷ","Đinh Bộ Lĩnh, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh","65,16 triệu/m²",4 phòng,4 phòng,,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4 m,,,
"12,80 tỷ","Đường Tân Thành, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","102,07 triệu/m²",1 phòng,2 phòng,Bắc,,Đã có sổ,"Nhà mặt phố, mặt tiền",Bàn giao thô,5.9 m,,,
"8,10 tỷ","Đường Cù Lao, Phường 2, Quận Phú Nhuận, Tp Hồ Chí Minh","152,83 triệu/m²",2 phòng,2 phòng,,1,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,4 m,,,
30 tỷ,"143, Đường Phó Cơ Điều, Phường 6, Quận 11, Tp Hồ Chí Minh",250 triệu/m²,5 phòng,3 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,5 m,24 m,120 m²,
"5,25 tỷ","Đường Nguyễn Thị Tần, Phường 2, Quận 8, Tp Hồ Chí Minh","113,64 triệu/m²",3 phòng,3 phòng,,4,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4.4 m,,,
"3,60 tỷ","Đường Bình Thành, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh","62,07 triệu/m²",2 phòng,2 phòng,,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4.5 m,,,
960 triệu,"Nguyễn Thái Sơn, Phường 4, Quận Gò Vấp, Tp Hồ Chí Minh",15 triệu/m²,3 phòng,,,2,Đã có sổ,"Nhà ngõ, hẻm",,5 m,12.8 m,,
4 tỷ,"Đường Quang Trung, Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh","70,18 triệu/m²",4 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,4.2 m,13.5 m,,57 m²
5 tỷ,"Đường Nguyễn Văn Khối, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh","66,67 triệu/m²",3 phòng,3 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,5 m,14.2 m,,
17 tỷ,"N9, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",50 triệu/m²,9 phòng,,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,10 m,34 m,340 m²,340 m²
"8,90 tỷ","Hiệp Phú, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","98,89 triệu/m²",4 phòng,3 phòng,,3,Đã có sổ,"Nhà mặt phố, mặt tiền",,5 m,18 m,,
"4,70 tỷ","Tô Ký, Xã Trung Chánh, Huyện Hóc Môn, Tp Hồ Chí Minh","73,44 triệu/m²",4 phòng,4 phòng,,3,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,4 m,,,
"6,90 tỷ","Dương Công Khi, Xã Xuân Thới Thượng, Huyện Hóc Môn, Tp Hồ Chí Minh","34,33 triệu/m²",5 phòng,2 phòng,Tây,,Đã có sổ,"Nhà mặt phố, mặt tiền",,12 m,20 m,,
"19,50 tỷ","Đường Vĩnh Viễn, Phường 4, Quận 10, Tp Hồ Chí Minh","393,94 triệu/m²",4 phòng,4 phòng,,3,Đã có sổ,"Nhà mặt phố, mặt tiền",,3.55 m,16.94 m,,
"1,65 tỷ","Đường Nguyễn Thị Tú, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",66 triệu/m²,2 phòng,1 phòng,,2,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,3.5 m,,,
"19,50 tỷ","Đường Vĩnh Viễn, Phường 4, Quận 10, Tp Hồ Chí Minh","393,94 triệu/m²",4 phòng,4 phòng,,3,Đã có sổ,"Nhà mặt phố, mặt tiền",,3.55 m,16.94 m,,
"1,65 tỷ","Đường Nguyễn Thị Tú, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",66 triệu/m²,2 phòng,1 phòng,,2,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,3.5 m,,,
"5,30 tỷ","Đường Bùi Tư Toàn, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh","91,38 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",,4 m,14.5 m,,
"1,55 tỷ","Đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh","51,67 triệu/m²",2 phòng,2 phòng,,,Đang chờ sổ,"Nhà ngõ, hẻm",,3 m,10 m,,30 m²
"3,57 tỷ",Cập nhật 2 ngày trước,"52,50 triệu/m²",2 phòng,2 phòng,Tây Bắc,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,,68 m²
"5,40 tỷ",Cập nhật 2 ngày trước,"158,82 triệu/m²",3 phòng,,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,34 m²
86 tỷ,"Phố Nguyễn Cơ Thạch, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội","315,02 triệu/m²",8 phòng,Nhiều hơn 6 phòng,,5,Đã có sổ,Nhà biệt thự,Nội thất cao cấp,11 m,,,
"1,10 tỷ",Cập nhật 2 ngày trước,"34,38 triệu/m²",2 phòng,2 phòng,,,Sổ chung / công chứng vi bằng,"Nhà ngõ, hẻm",,,,,32 m²
"10,50 tỷ","Đường Thanh Đa, Phường 27, Quận Bình Thạnh, Tp Hồ Chí Minh","66,04 triệu/m²",nhiều hơn 10 phòng,Nhiều hơn 6 phòng,Tây Nam,4,Đã có sổ,"Nhà ngõ, hẻm",,10 m,,,
11 tỷ,"Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội","183,33 triệu/m²",nhiều hơn 10 phòng,Nhiều hơn 6 phòng,,7,Đã có sổ,"Nhà ngõ, hẻm",,5.5 m,,,60 m²
"6,60 tỷ","Đường Lương Thế Vinh, Phường Tân Thới Hòa, Quận Tân Phú, Tp Hồ Chí Minh","103,13 triệu/m²",4 phòng,4 phòng,,3,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,5.1 m,,,
"4,50 tỷ","Đường Châu Văn Liêm, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng",75 triệu/m²,2 phòng,2 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất đầy đủ,4 m,15 m,,
"3,45 tỷ",Cập nhật 2 ngày trước,"47,92 triệu/m²",2 phòng,1 phòng,Tây Nam,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,,72 m²
"2,15 tỷ","Đường Trịnh Thị Miếng, Xã Thới Tam Thôn, Huyện Hóc Môn, Tp Hồ Chí Minh","61,40 triệu/m²",2 phòng,1 phòng,Tây Bắc,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,,,,
"4,40 tỷ","Đường Hương Lộ 2, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh","69,83 triệu/m²",2 phòng,2 phòng,,1,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,4.8 m,,,
"5,40 tỷ","Hẻm 30 Lâm Văn Bền, Phường Tân Kiểng, Quận 7, Tp Hồ Chí Minh",108 triệu/m²,2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Nội thất cao cấp,4.8 m,,,
"3,50 tỷ","300/38, Đường Trịnh Đình Trọng, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","112,90 triệu/m²",2 phòng,1 phòng,Tây Nam,2,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,,,
850 triệu,"Đường Nguyễn Thị Ngâu, Xã Thới Tam Thôn, Huyện Hóc Môn, Tp Hồ Chí Minh","23,61 triệu/m²",2 phòng,2 phòng,,,Sổ chung / công chứng vi bằng,"Nhà mặt phố, mặt tiền",,3 m,12 m,36 m²,
"12,80 tỷ",Cập nhật 19 giờ trước,"152,38 triệu/m²",5 phòng,4 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,84 m²
"3,20 tỷ","Đông Thạnh 7-3, Xã Đông Thạnh, Huyện Hóc Môn, Tp Hồ Chí Minh","35,56 triệu/m²",3 phòng,2 phòng,,,Đang chờ sổ,"Nhà mặt phố, mặt tiền",,5 m,17 m,90 m²,
"12,80 tỷ",Cập nhật 19 giờ trước,"152,38 triệu/m²",5 phòng,4 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",,,,,84 m²
"3,20 tỷ","Đông Thạnh 7-3, Xã Đông Thạnh, Huyện Hóc Môn, Tp Hồ Chí Minh","35,56 triệu/m²",3 phòng,2 phòng,,,Đang chờ sổ,"Nhà mặt phố, mặt tiền",,5 m,17 m,90 m²,
"4,50 tỷ","Tăng Nhơn Phú B, Phường Tăng Nhơn Phú B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","56,96 triệu/m²",2 phòng,2 phòng,,1,Đã có sổ,"Nhà mặt phố, mặt tiền",,4 m,19 m,,
"4,80 tỷ","Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh","114,29 triệu/m²",2 phòng,2 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,6 m,7 m,42 m²,
"3,55 tỷ","Đường Lê Văn Quới, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh","88,75 triệu/m²",2 phòng,,,2,Đã có sổ,Nhà biệt thự,,4 m,10 m,,
"18,50 tỷ","Đường 11 Phước Long B, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","92,50 triệu/m²",4 phòng,5 phòng,Đông Nam,3,Đã có sổ,Nhà biệt thự,,,,,
"7,40 tỷ","Đường Đỗ Xuân Hợp, Phường Phước Long B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","123,33 triệu/m²",4 phòng,4 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,4 m,15 m,,
"5,35 tỷ","Đường Nguyễn Văn Khối, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh","124,42 triệu/m²",2 phòng,2 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,4 m,11 m,,
"7,18 tỷ","Đường Hiệp Thành 49, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh","104,06 triệu/m²",4 phòng,5 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,4 m,18 m,,
"5,80 tỷ","Đường số 18, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh","141,46 triệu/m²",4 phòng,3 phòng,,4,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,7 m,,,
"2,88 tỷ","Đường Hồ Thành Biên, Phường 4, Quận 8, Tp Hồ Chí Minh","102,86 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",,3.3 m,9 m,,
"4,55 tỷ","14/14m tiền lân, bà điểm ,hốc môn, tphcm , Đường Bà Điểm 4, Xã Bà Điểm, Huyện Hóc Môn, Tp Hồ Chí Minh","55,49 triệu/m²",4 phòng,3 phòng,Đông Bắc,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,,,,
"16,80 tỷ","Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",210 triệu/m²,5 phòng,4 phòng,Tây,4,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"15,60 tỷ","MẶT TIỀN KINH DOANH QUẬN 10, Phường 6, Quận 10, Tp Hồ Chí Minh",312 triệu/m²,4 phòng,,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,4 m,13 m,170 m²,50 m²
4 tỷ,"Đường Nguyễn Đình Chiểu, Phường 3, Quận Phú Nhuận, Tp Hồ Chí Minh","90,91 triệu/m²",2 phòng,2 phòng,,2,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,4 m,,,
"7,85 tỷ","Ngách 11 Ngõ 12 Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội","196,25 triệu/m²",6 phòng,5 phòng,Đông Bắc,4,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,
"10,80 tỷ","52 khu ADC, Đường B, Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","98,18 triệu/m²",1 phòng,1 phòng,Đông Nam,1,Đã có sổ,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,,,,
"11,50 tỷ",Cập nhật 2 ngày trước,"143,75 triệu/m²",5 phòng,,,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,,,80 m²
"7,50 tỷ","23, Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội","227,24 triệu/m²",4 phòng,4 phòng,,5,Đã có sổ,"Nhà ngõ, hẻm",,4.5 m,,200 m²,
"3,79 tỷ",Cập nhật 2 ngày trước,"189,50 triệu/m²",3 phòng,3 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",Nội thất đầy đủ,,,,20 m²
"4,80 tỷ",Cập nhật 2 ngày trước,"85,71 triệu/m²",4 phòng,3 phòng,,3,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,,,56 m²
"6,25 tỷ","Đường số 14, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh","111,61 triệu/m²",2 phòng,2 phòng,Tây Bắc,2,Đã có sổ,"Nhà mặt phố, mặt tiền",Hoàn thiện cơ bản,,,,
"13,90 tỷ","Đường số 1, Phường 16, Quận Gò Vấp, Tp Hồ Chí Minh","154,44 triệu/m²",4 phòng,4 phòng,,,Đã có sổ,"Nhà mặt phố, mặt tiền",Nội thất cao cấp,6 m,15 m,,
"5,70 tỷ",Cập nhật 2 ngày trước,114 triệu/m²,4 phòng,4 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,,,50 m²
"7,55 tỷ",Cập nhật 2 ngày trước,151 triệu/m²,4 phòng,4 phòng,,,Đã có sổ,"Nhà ngõ, hẻm",Hoàn thiện cơ bản,,,,50 m²
