DistrictId,WardId,StreetId,Size,Type,FurnishingSell,Urgent,Price
19,247,2418,128.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,15990000000.0
6,69,548,100.0,Mặt bằng kinh doanh,,1,33000000000.0
11,141,1218,50.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,90000000.0
17,219,2076,70.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,129000000.0
19,245,2375,400.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,690000000.0
8,89,832,156.0,Shophouse,,0,7800000000.0
2,16,180,60.0,Shophouse,Hoàn thiện cơ bản,0,3200000000.0
18,227,2149,55.0,Mặt bằng kinh doanh,,0,12000000000.0
7,80,814,75.0,Mặt bằng kinh doanh,Nội thất cao cấp,0,19500000000.0
17,213,2034,240.0,Mặt bằng kinh doanh,,0,49500000000.0
13,165,1516,57.0,Shophouse,Hoàn thiện cơ bản,0,4000000000.0
12,145,1255,400.0,Mặt bằng kinh doanh,Nội thất cao cấp,0,10400000000.0
12,151,1314,110.0,Shophouse,,0,2490000000.0
14,167,1554,38.0,Mặt bằng kinh doanh,Nội thất đầy đủ,1,70000000.0
8,88,814,151.0,Shophouse,Hoàn thiện cơ bản,0,4990000000.0
13,160,1465,201.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,0,12000000000.0
23,303,2716,100.0,Mặt bằng kinh doanh,,1,250000000.0
13,156,1412,133.0,Mặt bằng kinh doanh,,0,20000000000.0
14,172,1672,105.0,Mặt bằng kinh doanh,,0,9200000000.0
8,88,814,150.0,Shophouse,,0,5700000000.0
13,155,1373,150.0,Mặt bằng kinh doanh,,0,22500000000.0
14,166,1546,185.0,Shophouse,,0,12500000000.0
9,109,984,199.0,Mặt bằng kinh doanh,,0,12000000000.0
12,153,1347,240.0,Mặt bằng kinh doanh,,0,15000000000.0
18,238,2259,190.0,Mặt bằng kinh doanh,Nội thất cao cấp,0,24500000000.0
8,89,832,156.0,Shophouse,Hoàn thiện cơ bản,0,7800000000.0
15,185,1813,80.0,Mặt bằng kinh doanh,,0,19500000000.0
14,170,1626,422.0,Mặt bằng kinh doanh,,0,15000000000.0
9,109,987,94.65,Mặt bằng kinh doanh,Nội thất đầy đủ,0,7300000000.0
19,243,2343,28.0,Mặt bằng kinh doanh,Nội thất cao cấp,0,50000000.0
12,147,1271,200.0,Mặt bằng kinh doanh,,0,17500000000.0
14,173,1697,80.0,Mặt bằng kinh doanh,,0,9500000000.0
14,169,1618,192.0,Mặt bằng kinh doanh,,0,33000000000.0
10,116,1038,53.9,Mặt bằng kinh doanh,Bàn giao thô,0,13000000000.0
12,147,1265,92.0,Mặt bằng kinh doanh,,0,11000000000.0
1,7,73,149.0,Shophouse,Nội thất đầy đủ,0,49000000000.0
3,24,277,96.0,Mặt bằng kinh doanh,,0,6800000000.0
13,165,1525,227.0,Mặt bằng kinh doanh,,1,34500000000.0
24,312,2756,240.0,Shophouse,Hoàn thiện cơ bản,0,5500000000.0
15,185,1818,350.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,400000000.0
9,107,951,125.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,11900000000.0
17,222,2104,180.0,Mặt bằng kinh doanh,,0,49000000000.0
3,20,289,130.0,Mặt bằng kinh doanh,,1,37000000000.0
15,181,1783,80.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,350000000.0
19,248,2451,150.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,390000000.0
19,250,2481,96.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,220000000.0
18,238,2259,116.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,200000000.0
19,245,2370,400.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,800000000.0
18,238,2262,70.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,170000000.0
23,305,2723,90.0,Mặt bằng kinh doanh,,0,4250000000.0
16,199,1898,370.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,1200000000.0
4,32,327,18.0,Văn phòng,Hoàn thiện cơ bản,0,1350000000.0
9,110,988,156.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,0,14500000000.0
6,71,557,100.0,Mặt bằng kinh doanh,,0,300000000.0
3,24,272,250.0,Mặt bằng kinh doanh,,0,36000000000.0
3,31,323,110.0,Mặt bằng kinh doanh,,0,27000000000.0
2,13,144,121.0,Mặt bằng kinh doanh,Hoàn thiện cơ bản,0,16000000000.0
1,10,113,90.0,Mặt bằng kinh doanh,,0,25000000000.0
17,221,2095,120.0,Mặt bằng kinh doanh,,0,14200000000.0
14,166,1536,72.0,Shophouse,,0,2700000000.0
15,192,1849,55.5,Shophouse,Hoàn thiện cơ bản,0,5250000000.0
19,242,2327,70.0,Mặt bằng kinh doanh,Nội thất đầy đủ,0,170000000.0
18,237,2249,156.0,Officetel,Nội thất đầy đủ,0,37200000000.0
